"ClientAccountID","CurrencyPrimary","AssetClass","Symbol","Description","ListingExchange","UnderlyingSymbol","Multiplier","Strike","Expiry","Put/Call","Quantity","MarkPrice","PositionValue","FifoPnlUnrealized","Side","ReportDate"
"DU1237908","USD","STK","SPY","SPDR S&P 500 ETF TRUST","ARCA","","1","","","","500","265.33","132665","-807.15","Long","20181026"
"DU1237908","HKD","FUT","HSIZ8","HSI 28DEC18","","HSI","50","","20181228","","5","24690","6172500","-377150","Long","20181026"
"DU1237908","HKD","FUT","MHIZ8","MHI 28DEC18","","MHI","10","","20181228","","12","24690","2962800","5436","Long","20181026"
"DU1237908","USD","FUT","CLF9","CL JAN19","","CL","1000","","20181219","","15","67.75","1016250","-30635.55","Long","20181026"
"DU1237908","USD","FUT","PLF9","PL 29JAN19","","PL","50","","20190129","","10","834.4","417200","1776.3","Long","20181026"
"DU1237908","USD","FUT","RBF9","RB JAN19","","RB","42000","","20181231","","10","1.8145","762090","3924.3","Long","20181026"
"DU1237908","USD","FUT","RBOBF9","RBOB JAN19","","RBOB","42000","","20181228","","20","1.8145","1524180","7121.4","Long","20181026"
"DU1237908","EUR","FUT","FDXM MAR 19","DAX 15MAR19","","DAX","5","","20190315","","-10","11142","-557100","22442","Short","20181026"
"DU1237908","USD","FUT","ESM9","ES 21JUN19","","ES","50","","20190621","","-25","2684.1","-3355125","132748.75","Short","20181026"
"DU1237908","USD","FUT","NQZ8","NQ 21DEC18","","NQ","20","","20181221","","-4","6893.25","-551460","-348.2","Short","20181026"
"DU1237908","USD","FUT","QGF9","QG JAN19","","QG","2500","","20181226","","-15","3.29","-123375","679.45","Short","20181026"
"DU1237908","USD","FUT","S   MAR 19","ZS 14MAR19","","ZS","5000","","20190314","","-24","8.71","-1045200","15232.32","Short","20181026"
