ClientAccountID,CurrencyPrimary,AssetClass,FXRateToBase,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,UnderlyingConid,UnderlyingSymbol,Issuer,ReportDate,Quantity,Multiplier,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,Code,OriginatingOrderID
U1234567,USD,STK,1,CAST,CHINACAST EDUCATION CORP,42865194,,,,,,,,20121119,42700,1,0.185,7899.5,3.894846104,3.894846104,166309.9287,,-158410.4287,Long,SUMMARY,,,,
U1234567,USD,STK,1,CPHI,CHINA PHARMA HOLDINGS INC,39091887,,,,,,,,20121119,11200,1,0.33,3696,0.553123214,0.553123214,6194.98,,-2498.98,Long,SUMMARY,,,,
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,113841,1,4.21,479270.61,3.895287021,3.895287021,443443.3698,,35827.24019,Long,SUMMARY,,,,
U1234567,USD,OPT,1,VXX1  121222C00017000,VXX1 22DEC12 17.0 C,104657784,,,,,115136657,VXX1,,20121119,115,100,0.000733,8.43,4.043190217,4.043190217,46496.6875,,-46488.2575,Long,SUMMARY,,,,
U1234567,USD,OPT,1,VXX1  121222C00028000,VXX1 22DEC12 28.0 C,104657829,,,,,115136657,VXX1,,20121119,6,100,0.000001,0,2.927245,2.927245,1756.347,,-1756.347,Long,SUMMARY,,,,
U1234567,EUR,FUT,1.2814,FVS DEC 12,V2TX 19DEC12,105959064,,,,,35913933,V2TX,,20121119,5233,100,20.2,10570660,23.10618383,23.10618383,12091466,,-1520806,Long,SUMMARY,,,,
U1234567,EUR,FUT,1.2814,FVS MAR 13,V2TX 20MAR13,110662116,,,,,35913933,V2TX,,20121119,200,100,24.65,493000,24.92,24.92,498400,,-5400,Long,SUMMARY,,,,
U1234567,USD,FUT,1,ESZ2,ES 21DEC12,94410903,,,,,11004968,ES,,20121119,30,50,1382.5,2073750,1349.0402,1349.0402,2023560.3,,50189.7,Long,SUMMARY,,,,
U1234567,USD,FUT,1,VXF3,VIX 16JAN13,106152254,,,,,13455763,VIX,,20121119,125,1000,18.65,2331250,20.01837,20.01837,2502296.25,,-171046.25,Long,SUMMARY,,,,
U1234567,USD,FUT,1,VXG3,VIX 13FEB13,107579505,,,,,13455763,VIX,,20121119,31,1000,19.65,609150,19.95648613,19.95648613,618651.07,,-9501.07,Long,SUMMARY,,,,
U1234567,USD,OPT,1,BRKB  140118P00070000,BRK B 18JAN14 70.0 P,97399367,,,,,72063691,BRK B,,20121119,-83,100,1.64313,-13637.98,5.9946206,5.9946206,-49755.35098,,36117.37098,Short,SUMMARY,,,,
U1234567,USD,OPT,1,DELL  140118P00015000,DELL 18JAN14 15.0 P,95955927,,,,,268395,DELL,,20121119,-50,100,6.31731,-31586.55,2.717094072,2.717094072,-13585.47036,,-18001.07964,Short,SUMMARY,,,,
U1234567,USD,OPT,1,DELL  140118P00008000,DELL 18JAN14 8.0 P,95955957,,,,,268395,DELL,,20121119,-150,100,0.912072,-13681.08,0.652740216,0.652740216,-9791.10324,,-3889.97676,Short,SUMMARY,,,,
U1234567,USD,OPT,1,GM    140118P00015000,GM 18JAN14 15.0 P,97405904,,,,,80986742,GM,,20121119,-15,100,0.670959,-1006.44,1.477109848,1.477109848,-2215.664772,,1209.224772,Short,SUMMARY,,,,
U1234567,USD,OPT,1,VIX   121219C00018000,VIX 19DEC12 18.0 C,109264080,,,,,13455763,VIX,,20121119,-2250,100,1.15008,-258768,1.645874667,1.645874667,-370321.8,,111553.8,Short,SUMMARY,,,,
U1234567,USD,OPT,1,VIX   121219C00019000,VIX 19DEC12 19.0 C,109264085,,,,,13455763,VIX,,20121119,-420,100,0.967583,-40638.49,2.040788952,2.040788952,-85713.136,,45074.646,Short,SUMMARY,,,,
U1234567,USD,OPT,1,VIX   121121C00017000,VIX 21NOV12 17.0 C,107856196,,,,,13455763,VIX,,20121119,-100,100,0.069769,-697.69,0.988408,0.988408,-9884.08,,9186.39,Short,SUMMARY,,,,
