ClientAccountID,AccountAlias,Model,CurrencyPrimary,AssetClass,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,TransactionType,TradeID,OrderID,ExecID,BrokerageOrderID,OrderReference,VolatilityOrderLink,ClearingFirmID,OrigTradePrice,OrigTradeDate,OrigTradeID,OrderTime,Date/Time,ReportDate,SettleDate,TradeDate,Exchange,Buy/Sell,Quantity,Price,Amount,Proceeds,Commission,BrokerExecutionCommission,BrokerClearingCommission,ThirdPartyExecutionCommission,ThirdPartyClearingCommission,ThirdPartyRegulatoryCommission,OtherCommission,CommissionCurrency,Tax,Code,OrderType,LevelOfDetail,TraderID,IsAPIOrder,AllocatedTo
DU1237908,,,USD,FUT,PLF9,PL 29JAN19,314841651,,,,,,36557100,PL,,,,50,,20190129,,,ExchTrade,544032468,258877127,0001b259.5bd0f370.01.01,0039bf49.000154e4.5bd15543.0001,,,,0,,,20181025;094732,20181025;094732,20181025,20181026,20181025,NYMEX,BUY,3,830.8,124620,-124620,-7.11,-2.55,0,-4.5,0,-0.06,0,USD,0,O;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,PLF9,PL 29JAN19,314841651,,,,,,36557100,PL,,,,50,,20190129,,,ExchTrade,544032693,258877127,0001b259.5bd0f371.01.01,0039bf49.000154e4.5bd15543.0001,,,,0,,,20181025;094732,20181025;094736,20181025,20181026,20181025,NYMEX,BUY,4,830.8,166160,-166160,-9.48,-3.4,0,-6,0,-0.08,0,USD,0,O;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,PLF9,PL 29JAN19,314841651,,,,,,36557100,PL,,,,50,,20190129,,,ExchTrade,544032969,258877127,0001b259.5bd0f372.01.01,0039bf49.000154e4.5bd15543.0001,,,,0,,,20181025;094732,20181025;094744,20181025,20181026,20181025,NYMEX,BUY,3,830.8,124620,-124620,-7.11,-2.55,0,-4.5,0,-0.06,0,USD,0,O;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,NQZ8,NQ 21DEC18,289128851,,,,,,11004958,NQ,,,,20,,20181221,,,ExchTrade,544061334,258879617,0001b259.5bd0f3bc.01.01,0039bf49.000154e4.5bd15548.0001,,,,0,,,20181025;095312,20181025;095312,20181025,20181026,20181025,GLOBEX,SELL,-3,6889,-413340,413340,-6.15,-2.55,0,-3.54,0,-0.06,0,USD,0,O;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,NQZ8,NQ 21DEC18,289128851,,,,,,11004958,NQ,,,,20,,20181221,,,ExchTrade,544061446,258879617,0001b259.5bd0f3bd.01.01,0039bf49.000154e4.5bd15548.0001,,,,0,,,20181025;095312,20181025;095314,20181025,20181026,20181025,GLOBEX,SELL,-3,6889,-413340,413340,-6.15,-2.55,0,-3.54,0,-0.06,0,USD,0,O;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,NQZ8,NQ 21DEC18,289128851,,,,,,11004958,NQ,,,,20,,20181221,,,ExchTrade,544061563,258879617,0001b259.5bd0f3be.01.01,0039bf49.000154e4.5bd15548.0001,,,,0,,,20181025;095312,20181025;095319,20181025,20181026,20181025,GLOBEX,SELL,-4,6889,-551120,551120,-8.2,-3.4,0,-4.72,0,-0.08,0,USD,0,O;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,NQZ8,NQ 21DEC18,289128851,,,,,,11004958,NQ,,,,20,,20181221,,,ExchTrade,544063376,258879754,0001b259.5bd0f3bf.01.01,0039bf49.000154e4.5bd1554c.0001,,,,0,,,20181025;095341,20181025;095341,20181025,20181026,20181025,GLOBEX,BUY,2,6897.25,275890,-275890,-4.1,-1.7,0,-2.36,0,-0.04,0,USD,0,C;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,NQZ8,NQ 21DEC18,289128851,,,,,,11004958,NQ,,,,20,,20181221,,,ExchTrade,544063444,258879754,0001b259.5bd0f3c0.01.01,0039bf49.000154e4.5bd1554c.0001,,,,0,,,20181025;095341,20181025;095344,20181025,20181026,20181025,GLOBEX,BUY,1,6899,137980,-137980,-2.05,-0.85,0,-1.18,0,-0.02,0,USD,0,C;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,NQZ8,NQ 21DEC18,289128851,,,,,,11004958,NQ,,,,20,,20181221,,,ExchTrade,544063973,258879754,0001b259.5bd0f3c1.01.01,0039bf49.000154e4.5bd1554c.0001,,,,0,,,20181025;095341,20181025;095349,20181025,20181026,20181025,GLOBEX,BUY,2,6901,276040,-276040,-4.1,-1.7,0,-2.36,0,-0.04,0,USD,0,C;P,LMT,EXECUTION,,N,
DU1237908,,,USD,FUT,NQZ8,NQ 21DEC18,289128851,,,,,,11004958,NQ,,,,20,,20181221,,,ExchTrade,544064345,258879754,0001b259.5bd0f3c5.01.01,0039bf49.000154e4.5bd1554c.0001,,,,0,,,20181025;095341,20181025;095354,20181025,20181026,20181025,GLOBEX,BUY,1,6901,138020,-138020,-2.05,-0.85,0,-1.18,0,-0.02,0,USD,0,C;P,LMT,EXECUTION,,N,
